,C1_down,C1_up,C2_down,C2_up,normal,R2_down,R2_up,R3_down,R3_up,R4_down,R4_up,R5_down,R5_up
C1_down,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_up,0.0,40.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
C2_down,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_up,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal,0.0,2.0,0.0,2.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
R2_down,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2_up,0.0,4.0,0.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,0.0
R3_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
R3_up,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,4.0
R4_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
R4_up,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,41.0,5.0,0.0
R5_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,0.0
R5_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47.0
